%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1470076134103313750,0.15,-0.651112749731,0.0,0.0,0.0,0.032814681371
1470076134184604640,0.15,-0.300929293576,0.0,0.0,0.0,0.0314467952154
1470076134262064125,0.15,-0.300778096262,0.0,0.0,0.0,0.035873367533
1470076134343406684,0.15,-0.300695889535,0.0,0.0,0.0,0.0328316105027
1470076134423813296,0.15,-0.30145448679,0.0,0.0,0.0,0.0343912551289
1470076134503393184,0.15,-0.300991632882,0.0,0.0,0.0,0.032814681371
1470076134582053737,0.15,-0.301164659205,0.0,0.0,0.0,0.0343912551289
1470076134658918391,0.15,-0.300558484736,0.0,0.0,0.0,0.0342482074128
1470076134730296486,0.15,-0.303318929616,0.0,0.0,0.0,0.0316828813386
1470076134804172671,0.15,-0.305134950223,0.0,0.0,0.0,0.0276803625106
1470076134878079501,0.15,-0.297601201478,0.0,0.0,0.0,0.0254932727671
1470076134953118406,0.15,-0.278488876763,0.0,0.0,0.0,0.0309506247224
1470076135024150463,0.15,-0.256229257527,0.0,0.0,0.0,0.0308161701552
1470076135101202636,0.15,-0.229871621075,0.0,0.0,0.0,0.0251059852439
1470076135175163435,0.15,-0.241489471736,0.0,0.0,0.0,0.0332104307753
1470076135246053525,0.15,-0.212379303518,0.0,0.0,0.0,0.0226822533986
1470076135322138633,0.15,-0.205645186248,0.0,0.0,0.0,0.0310709153552
1470076135397897774,0.15,-0.188373912516,0.0,0.0,0.0,0.027847958981
1470076135469375831,0.15,-0.158732185605,0.0,0.0,0.0,0.037191979229
1470076135540972043,0.15,-0.15360917801,0.0,0.0,0.0,0.0253033802667
1470076135612328336,0.15,-0.137469072285,0.0,0.0,0.0,0.0338549114347
1470076135685311687,0.15,-0.128752754274,0.0,0.0,0.0,0.0300040405851
1470076135768369694,0.15,-0.103034705165,0.0,0.0,0.0,0.0240500204721
1470076135842410142,0.15,-0.102486840728,0.0,0.0,0.0,0.0182494505444
1470076135915457695,0.15,-0.0911718087821,0.0,0.0,0.0,0.0262186461519
1470076135985694614,0.15,-0.0843029052942,0.0,0.0,0.0,0.0284769068001
1470076136055784331,0.15,-0.0720270415573,0.0,0.0,0.0,0.0288770190219
1470076136132383438,0.15,-0.0518763189941,0.0,0.0,0.0,0.0224872382289
1470076136203207320,0.15,-0.0576360248952,0.0,0.0,0.0,0.0391589388894
1470076136273442101,0.15,-0.0497914446323,0.0,0.0,0.0,0.0350610621947
1470076136349235338,0.15,-0.0446906649499,0.0,0.0,0.0,0.0227228664312
1470076136423520184,0.15,-0.0393323325543,0.0,0.0,0.0,0.0205248291171
1470076136500391584,0.15,-0.0323912873297,0.0,0.0,0.0,0.0328888089129
1470076136583634923,0.15,-0.0326730758129,0.0,0.0,0.0,0.0375659966345
1470076136663715368,0.15,-0.0265673100381,0.0,0.0,0.0,0.0212639555184
1470076136739605358,0.15,-0.0267780368953,0.0,0.0,0.0,0.0262370266872
1470076136819373131,0.15,-0.0229252044289,0.0,0.0,0.0,0.0210995270711
1470076136891872873,0.15,-0.0210640629559,0.0,0.0,0.0,0.00601696042953
1470076136963202017,0.15,-0.0206770797252,0.0,0.0,0.0,0.0363527752913
1470076137048380671,0.15,-0.0201866214155,0.0,0.0,0.0,0.00869146617543
1470076137132143451,0.15,-0.0210278690039,0.0,0.0,0.0,0.0116729381959
1470076137213244597,0.15,-0.0200350888251,0.0,0.0,0.0,0.0261488499262
1470076137287684112,0.15,-0.0217361752867,0.0,0.0,0.0,0.0384899497334
1470076137368301944,0.15,-0.0221624550401,0.0,0.0,0.0,0.0120660500762
1470076137439011075,0.15,-0.0236916564583,0.0,0.0,0.0,0.0312044666719
1470076137511575299,0.15,-0.0231820430784,0.0,0.0,0.0,0.00733194710756
1470076137583190022,0.15,-0.0261306798636,0.0,0.0,0.0,0.0
1470076137656871781,0.15,-0.0267011347591,0.0,0.0,0.0,0.0181246534605
1470076137732563443,0.15,-0.0261795425593,0.0,0.0,0.0,0.0108928901852
1470076137812490185,0.15,-0.0257037408083,0.0,0.0,0.0,0.0123389154041
1470076137885087939,0.15,-0.0282699871241,0.0,0.0,0.0,0.0145720710989
1470076137964036701,0.15,-0.025433899182,0.0,0.0,0.0,0.0323792337662
1470076138041987458,0.15,-0.0279431501209,0.0,0.0,0.0,0.0
1470076138118690311,0.15,-0.0299053784638,0.0,0.0,0.0,0.00858347057513
1470076138193237891,0.15,-0.0280158338128,0.0,0.0,0.0,0.0169533924461
1470076138268233117,0.15,-0.0287989024251,0.0,0.0,0.0,0.0192185162398
1470076138343364708,0.15,-0.0282717634915,0.0,0.0,0.0,0.00901792396434
1470076138423466900,0.15,-0.0279854465454,0.0,0.0,0.0,0.00671323147172
1470076138501227082,0.15,-0.0280478629648,0.0,0.0,0.0,0.0168545592739
1470076138575370095,0.15,-0.0261682928531,0.0,0.0,0.0,0.010814796913
1470076138649557747,0.15,-0.0265524652778,0.0,0.0,0.0,0.00604301911306
1470076138730119708,0.15,-0.0253505110918,0.0,0.0,0.0,-0.00843692934535
1470076138807657867,0.15,-0.0251392264842,0.0,0.0,0.0,0.0239279551498
1470076138882363006,0.15,-0.0236204021602,0.0,0.0,0.0,0.0115464946307
1470076138965173665,0.15,-0.0226770912288,0.0,0.0,0.0,0.00590818567876
1470076139043035245,0.15,-0.0237834672808,0.0,0.0,0.0,0.0172064621395
1470076139117372285,0.15,-0.0218276770591,0.0,0.0,0.0,0.00695322071616
1470076139191438972,0.15,-0.0207815712868,0.0,0.0,0.0,0.0157901849436
1470076139265817252,0.15,-0.0218222984104,0.0,0.0,0.0,0.00873690092335
1470076139345392599,0.15,-0.0202690071045,0.0,0.0,0.0,0.00839183433038
1470076139421501126,0.15,-0.0190913930713,0.0,0.0,0.0,0.0
1470076139495574561,0.15,-0.0202340351223,0.0,0.0,0.0,0.0331682649495
1470076139571567056,0.15,-0.0186715093433,0.0,0.0,0.0,-0.00418502277883
1470076139645753864,0.15,-0.0178587374269,0.0,0.0,0.0,-0.00399922299551
1470076139718041854,0.15,-0.0189023412569,0.0,0.0,0.0,0.015004236139
1470076139791973851,0.15,-0.0170285027652,0.0,0.0,0.0,0.00609917444814
1470076139864140606,0.15,-0.0166612391352,0.0,0.0,0.0,0.00502154837827
1470076139936798389,0.15,-0.0161739045559,0.0,0.0,0.0,0.0133933079428
1470076140010040860,0.15,-0.0168121018811,0.0,0.0,0.0,0.0100182170731
1470076140086268543,0.15,-0.0152980864971,0.0,0.0,0.0,0.0141861335485
1470076140166252856,0.15,-0.0150147386818,0.0,0.0,0.0,0.0
1470076140243318674,0.15,-0.0144479918285,0.0,0.0,0.0,0.0170177389364
1470076140320979371,0.15,-0.0135331835403,0.0,0.0,0.0,0.00970191787847
1470076140394458644,0.15,-0.0129248960866,0.0,0.0,0.0,0.0188413435533
1470076140467603329,0.15,-0.0118365658625,0.0,0.0,0.0,0.0
1470076140544050708,0.15,-0.0111650619461,0.0,0.0,0.0,0.0153011368423
1470076140618350073,0.15,-0.0110906671538,0.0,0.0,0.0,0.0159527919857
1470076140692545086,0.15,-0.0108824538245,0.0,0.0,0.0,0.0130413983906
1470076140765040481,0.15,-0.0109522021367,0.0,0.0,0.0,0.00799474886543
1470076140838660793,0.15,-0.010177429448,0.0,0.0,0.0,0.0176131396603
1470076140917404223,0.15,-0.010376088935,0.0,0.0,0.0,0.0
1470076140992085372,0.15,-0.0102295324384,0.0,0.0,0.0,0.0122593531034
1470076141064783222,0.15,-0.0104328772603,0.0,0.0,0.0,0.0
1470076141137192468,0.15,-0.0107596185981,0.0,0.0,0.0,0.0156706945135
1470076141211475527,0.15,-0.0107368529021,0.0,0.0,0.0,0.0
1470076141283360660,0.15,-0.0111052788972,0.0,0.0,0.0,0.0139924396532
1470076141354973227,0.0,-0.0114935461237,0.0,0.0,0.0,0.0136112707761
1470076141429498330,0.0,-0.0117762741252,0.0,0.0,0.0,0.0
1470076141503785063,0.0,-0.0121346732407,0.0,0.0,0.0,0.0
1470076141576801127,0.0,-0.0124308591514,0.0,0.0,0.0,0.0
1470076141650039136,0.0,-0.0125795959114,0.0,0.0,0.0,0.0100351755698
1470076141723465382,0.0,-0.0125843492328,0.0,0.0,0.0,0.00639609613777
1470076141794909650,0.0,-0.0125353921382,0.0,0.0,0.0,0.00622126691608
1470076141868969354,0.0,-0.0125779351397,0.0,0.0,0.0,0.00500310185518
1470076141939564930,0.0,-0.0126331459536,0.0,0.0,0.0,0.00958653141558
1470076142014518615,0.0,-0.0122689522981,0.0,0.0,0.0,0.0
