%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1470584451623235007,0.15,-0.496597540868,0.0,0.0,0.0,0.0165024390985
1470584451706006745,0.15,-0.22960961567,0.0,0.0,0.0,0.0165024390985
1470584451781135478,0.15,-0.229377465115,0.0,0.0,0.0,0.0178775743482
1470584451859270583,0.15,-0.229734427796,0.0,0.0,0.0,0.0165024390985
1470584451933118974,0.15,-0.230418262349,0.0,0.0,0.0,0.0170891995203
1470584452007959338,0.15,-0.230204182134,0.0,0.0,0.0,0.0156940133449
1470584452078738130,0.15,-0.229864863024,0.0,0.0,0.0,0.0170891995203
1470584452150642265,0.15,-0.22998350607,0.0,0.0,0.0,0.0170891995203
1470584452223038287,0.15,-0.229951189028,0.0,0.0,0.0,0.0162132585477
1470584452296288379,0.15,-0.228950826393,0.0,0.0,0.0,0.0169305028698
1470584452375536038,0.15,-0.230768727527,0.0,0.0,0.0,0.0156940133449
1470584452445762658,0.15,-0.228569853173,0.0,0.0,0.0,0.0183321100368
1470584452526947106,0.15,-0.23090042399,0.0,0.0,0.0,0.0156940133449
1470584452596203676,0.15,-0.228814808593,0.0,0.0,0.0,0.0169305028698
1470584452669958595,0.15,-0.229497997032,0.0,0.0,0.0,0.0169305028698
1470584452739361729,0.15,-0.229507254229,0.0,0.0,0.0,0.0178775743482
1470584452811045885,0.15,-0.230531045662,0.0,0.0,0.0,0.0161145390557
1470584452881656136,0.15,-0.229744297133,0.0,0.0,0.0,0.0175379486787
1470584452952860591,0.15,-0.230103561149,0.0,0.0,0.0,0.0161145390557
1470584453025026919,0.15,-0.22997794436,0.0,0.0,0.0,0.0161145390557
1470584453108552973,0.15,-0.22997794436,0.0,0.0,0.0,0.0161145390557
1470584453183985778,0.15,-0.22997794436,0.0,0.0,0.0,0.0161145390557
1470584453257992642,0.15,-0.22997794436,0.0,0.0,0.0,0.0161145390557
1470584453334170982,0.15,-0.228939918743,0.0,0.0,0.0,0.0169305028698
1470584453412567767,0.15,-0.230768727527,0.0,0.0,0.0,0.0156940133449
1470584453495259668,0.15,-0.229852834211,0.0,0.0,0.0,0.0161145390557
1470584453568884653,0.15,-0.229405217634,0.0,0.0,0.0,0.0269327985299
1470584453675939240,0.15,-0.198395814763,0.0,0.0,0.0,0.0125673888592
1470584453811373948,0.15,-0.170784567462,0.0,0.0,0.0,0.0218807012313
1470584453973508170,0.15,0.181734388156,0.0,0.0,0.0,0.0176661289969
1470584454109787442,0.15,0.0311845816696,0.0,0.0,0.0,0.0184174386574
1470584454215516752,0.15,0.0822464368703,0.0,0.0,0.0,0.0239773200522
1470584454342962833,0.15,0.143441065534,0.0,0.0,0.0,0.0216473076375
1470584454526327033,0.15,0.137826654001,0.0,0.0,0.0,0.0271426543162
1470584454755371802,0.15,0.163848272993,0.0,0.0,0.0,0.0167114613222
1470584454973367337,0.15,0.195964305832,0.0,0.0,0.0,0.0156931220273
1470584455129164418,0.15,0.203220256402,0.0,0.0,0.0,0.0139293668888
1470584455224364700,0.15,0.212069391443,0.0,0.0,0.0,0.0230850434228
1470584455428365923,0.15,0.151943100824,0.0,0.0,0.0,0.0164037507552
1470584455499486541,0.15,0.116533994211,0.0,0.0,0.0,0.0124480495061
1470584455655519948,0.15,0.119787324204,0.0,0.0,0.0,0.0174860103699
1470584455763700233,0.15,0.0701763811546,0.0,0.0,0.0,0.0124993042228
1470584455883701142,0.15,0.0723311981397,0.0,0.0,0.0,0.0
1470584456005005541,0.15,0.0512261955278,0.0,0.0,0.0,0.0175414349844
1470584456149868010,0.15,0.0165781098442,0.0,0.0,0.0,0.0194269753975
1470584456283364257,0.15,-0.00878363340849,0.0,0.0,0.0,0.00992128684537
1470584456457546823,0.15,-0.041530400419,0.0,0.0,0.0,0.0190930313921
